"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Albert Pujols","- - -","2414","10512","577","1611","1788","109","11.2 %","10.0 %",".255",".289",".303",".385",".558",".395","148","-32.2","593.1","-125.8","81.1","1177"
"Adrian Beltre","- - -","2321","9731","407","1243","1408","74","6.7 %","13.7 %",".202",".300",".290",".341",".491",".355","119","-10.6","207.7","197.2","74.9","639"
"Alex Rodriguez","- - -","1832","7960","455","1261","1356","178","12.0 %","19.3 %",".252",".306",".286",".381",".539",".391","141","22.5","424.7","12.8","71.0","1274"
"Miguel Cabrera","- - -","2226","9530","462","1371","1613","38","11.2 %","17.1 %",".236",".344",".317",".395",".553",".400","149","-63.4","501.3","-137.6","70.4","1744"
"Chase Utley","- - -","1850","7676","258","1085","1011","151","9.2 %","15.1 %",".193",".298",".276",".359",".469",".358","120","74.6","261.5","117.5","62.8","1679"
"Carlos Beltran","- - -","2163","9152","382","1303","1327","238","10.4 %","16.1 %",".215",".294",".277",".353",".493",".361","123","56.7","309.7","-31.2","57.6","589"
"Brian McCann","- - -","1607","6318","263","692","950","25","9.3 %","15.2 %",".193",".275",".264",".339",".457",".343","112","-56.2","38.6","299.6","55.4","4810"
"Mike Trout","Angels","925","4065","201","692","569","165","14.0 %","21.5 %",".260",".355",".306",".410",".566",".412","169","47.2","373.0","16.0","55.1","10155"
"Robinson Cano","- - -","1998","8493","301","1144","1183","51","6.5 %","12.4 %",".190",".319",".305",".354",".494",".362","126","-32.2","232.7","-2.1","53.8","3269"
"Russell Martin","- - -","1520","6047","175","737","726","100","11.7 %","17.7 %",".151",".285",".253",".350",".403",".333","106","-17.3","27.0","293.0","53.2","4616"
"Ichiro Suzuki","- - -","2479","9943","109","1288","711","453","6.2 %","10.2 %",".090",".337",".309",".353",".399",".327","103","90.5","134.4","53.8","52.3","1101"
"Joey Votto","Reds","1430","6141","257","863","830","72","16.2 %","17.7 %",".227",".354",".313",".428",".541",".412","158","-23.3","401.6","-89.2","52.0","4314"
"David Wright","Mets","1583","6869","242","949","970","196","11.1 %","18.8 %",".195",".339",".296",".376",".491",".373","133","17.8","297.8","-1.1","52.0","3787"
"Yadier Molina","Cardinals","1747","6700","126","601","785","56","6.8 %","9.8 %",".119",".299",".284",".336",".403",".323","100","-68.6","-75.9","357.3","51.0","7007"
"Joe Mauer","Twins","1731","7417","137","954","875","52","12.0 %","12.8 %",".135",".341",".308",".391",".443",".361","124","-4.9","214.4","25.7","50.0","1857"
"David Ortiz","- - -","2078","8864","503","1256","1605","14","13.3 %","16.9 %",".277",".299",".289",".384",".566",".398","145","-77.3","404.8","-213.1","50.0","745"
"Matt Holliday","- - -","1878","7916","314","1154","1217","108","10.0 %","17.0 %",".212",".331",".299",".378",".511",".383","135","-1.0","331.6","-97.8","49.5","1873"
"Buster Posey","Giants","1039","4260","128","505","594","20","9.5 %","12.0 %",".165",".325",".308",".376",".474",".365","134","-20.0","152.7","179.5","48.7","9166"
"Evan Longoria","Rays","1435","6151","261","780","892","51","9.3 %","19.8 %",".213",".299",".270",".341",".483",".351","123","5.3","172.2","88.8","48.6","9368"
"Curtis Granderson","- - -","1796","7540","319","1113","865","151","11.0 %","22.7 %",".220",".292",".252",".339",".472",".350","117","54.7","210.3","10.7","48.2","4747"
"Jimmy Rollins","- - -","2103","9465","217","1319","877","421","8.1 %","12.1 %",".156",".281",".263",".324",".419",".323","96","76.4","28.0","140.3","47.4","971"
"Dustin Pedroia","Red Sox","1503","6743","140","920","724","138","9.2 %","9.7 %",".141",".315",".300",".366",".441",".353","116","-7.2","119.4","107.5","47.2","8370"
"Lance Berkman","- - -","1575","6603","307","950","1026","68","15.8 %","16.4 %",".239",".311",".290",".406",".529",".398","143","-10.0","349.2","-96.1","46.4","548"
"Ian Kinsler","- - -","1673","7484","234","1149","839","225","8.5 %","12.4 %",".174",".286",".273",".342",".447",".344","110","50.8","140.5","49.9","45.9","6195"
"Derek Jeter","Yankees","1811","8351","161","1208","823","223","8.2 %","14.0 %",".120",".342",".304",".370",".424",".351","115","14.4","171.4","3.3","45.9","826"
"Andrew McCutchen","Pirates","1346","5829","203","814","725","171","11.8 %","17.8 %",".197",".328",".291",".379",".487",".373","137","21.2","273.9","-20.0","45.6","9847"
"Chipper Jones","Braves","1405","5865","241","846","886","44","14.7 %","13.6 %",".215",".315",".301",".402",".516",".392","140","-8.8","287.2","-22.9","45.0","97"
"Mark Teixeira","- - -","1862","8029","409","1099","1298","26","11.4 %","17.9 %",".241",".282",".268",".360",".509",".371","127","-6.7","256.8","-84.4","44.8","1281"
"Jose Reyes","- - -","1767","7989","141","1150","703","512","7.1 %","11.0 %",".144",".308",".286",".337",".430",".332","105","76.0","118.9","66.1","44.7","1736"
"Scott Rolen","- - -","1294","5313","183","730","794","52","9.9 %","14.4 %",".201",".296",".278",".358",".480",".361","120","7.3","141.9","126.0","43.8","970"
"Barry Bonds","Giants","690","2801","195","514","454","30","29.8 %","9.2 %",".373",".290",".325",".534",".698",".487","202","-7.7","357.0","-24.8","41.8","1109"
"Hanley Ramirez","- - -","1608","6875","263","1020","880","277","9.3 %","17.2 %",".199",".322",".291",".362",".490",".367","126","21.4","242.2","-50.7","41.8","8001"
"Carl Crawford","- - -","1716","7178","136","998","766","480","5.3 %","14.9 %",".145",".326",".290",".330",".435",".332","104","86.9","124.2","45.4","41.5","1201"
"Ben Zobrist","- - -","1465","6140","157","793","693","113","12.3 %","14.8 %",".165",".289",".263",".355",".428",".342","116","17.3","131.6","51.7","40.6","7435"
"Ryan Braun","Brewers","1458","6244","302","937","989","193","8.2 %","18.4 %",".238",".331",".302",".364",".540",".386","139","19.5","316.4","-118.5","40.3","3410"
"Alfonso Soriano","- - -","1786","7720","391","1068","1082","244","6.0 %","21.5 %",".235",".301",".271",".321",".506",".351","113","30.9","156.0","-9.8","39.5","847"
"Torii Hunter","- - -","1983","8290","312","1118","1218","172","7.1 %","17.7 %",".188",".308",".279",".335",".467",".346","114","-6.0","132.3","-26.9","39.2","731"
"Troy Tulowitzki","- - -","1286","5402","224","761","779","57","9.4 %","16.6 %",".205",".314",".290",".361",".495",".368","119","-18.4","98.8","97.4","38.1","3531"
"Andruw Jones","- - -","1369","5352","284","721","824","46","11.2 %","21.3 %",".239",".262",".246",".337",".485",".352","112","-10.2","70.5","121.9","36.7","96"
"Ryan Zimmerman","Nationals","1552","6616","251","883","937","42","8.8 %","18.3 %",".196",".311",".280",".344",".476",".352","117","3.3","140.0","13.8","36.7","4220"
"Adrian Gonzalez","- - -","1875","7859","311","982","1176","6","9.8 %","17.4 %",".199",".317",".288",".359",".488",".361","128","-53.0","207.9","-102.7","36.6","1908"
"Jayson Werth","- - -","1583","6366","229","883","799","132","12.0 %","22.8 %",".188",".321",".267",".360",".455",".356","120","42.2","190.8","-38.9","36.0","1327"
"Jonathan Lucroy","- - -","975","3786","96","410","458","30","8.2 %","14.3 %",".151",".308",".281",".343",".433",".337","108","-17.5","17.5","203.8","36.0","7870"
"Aramis Ramirez","- - -","1873","7718","340","971","1239","24","7.2 %","13.2 %",".214",".290",".285",".344",".499",".361","119","-66.3","111.1","-3.2","35.6","1002"
"Josh Donaldson","- - -","831","3598","174","526","528","32","11.8 %","18.8 %",".233",".301",".277",".368",".510",".377","142","6.0","181.7","34.1","35.2","5038"
"Jose Bautista","- - -","1676","6845","331","970","927","66","14.1 %","18.7 %",".231",".264",".250",".362",".480",".364","127","-16.2","192.8","-95.7","34.7","1887"
"Giancarlo Stanton","Marlins","986","4120","267","576","672","36","11.8 %","27.7 %",".286",".317",".268",".360",".554",".385","145","-3.0","215.8","-12.3","34.6","4949"
"Bobby Abreu","- - -","1732","7212","192","1023","980","283","14.6 %","17.9 %",".171",".331",".285",".390",".456",".369","126","30.5","267.0","-164.2","34.2","945"
"Justin Upton","- - -","1489","6195","256","875","812","138","10.2 %","24.9 %",".210",".327",".269",".348",".479",".356","121","36.1","189.3","-57.8","33.9","5222"
"Todd Helton","Rockies","1582","6706","213","926","892","15","15.0 %","12.9 %",".195",".331",".309",".413",".504",".393","129","-31.7","214.4","-88.2","33.7","432"
"Placido Polanco","- - -","1532","6565","94","838","616","62","5.6 %","6.6 %",".103",".305",".297",".344",".400",".328","99","-3.5","-13.2","129.9","33.3","1176"
"J.D. Drew","- - -","1204","4753","179","710","613","38","14.4 %","18.4 %",".207",".308",".274",".383",".481",".374","126","15.4","174.2","-1.0","33.1","1152"
"Jim Edmonds","- - -","1000","3778","200","563","573","26","14.0 %","23.0 %",".262",".313",".274",".378",".537",".387","136","-2.0","172.3","30.3","32.3","1153"
"Shin-Soo Choo","- - -","1322","5705","168","772","644","130","12.0 %","21.5 %",".171",".338",".278",".378",".449",".363","126","16.6","193.3","-79.8","31.6","3174"
"Brandon Phillips","- - -","1893","7965","210","1001","949","209","5.2 %","13.6 %",".145",".297",".275",".320",".421",".321","95","3.0","-48.6","105.3","31.6","791"
"Mike Cameron","- - -","1208","5027","190","655","614","151","10.8 %","24.7 %",".203",".299",".247",".335",".450",".341","109","39.5","97.5","51.7","31.2","1070"
"Paul Goldschmidt","Diamondbacks","934","4018","176","614","627","117","14.1 %","22.1 %",".233",".354",".299",".399",".532",".393","144","19.7","230.4","-58.5","31.1","9218"
"Vladimir Guerrero","- - -","1416","6015","279","864","984","107","8.4 %","10.4 %",".218",".315",".317",".379",".535",".384","135","-44.3","219.0","-111.2","30.9","778"
"Nelson Cruz","- - -","1425","5827","323","768","914","75","8.5 %","22.6 %",".243",".309",".276",".342",".519",".367","129","-20.6","177.0","-75.9","30.9","2434"
"Johnny Damon","- - -","1532","6791","161","1056","738","225","9.8 %","12.3 %",".154",".305",".283",".355",".438",".347","111","62.3","153.9","-77.9","30.8","185"
"Derrek Lee","- - -","1393","5980","259","836","835","93","11.5 %","19.4 %",".222",".325",".289",".374",".511",".380","130","-14.5","208.7","-92.4","30.8","525"
"Brett Gardner","Yankees","1218","4836","84","695","405","241","10.3 %","18.5 %",".130",".315",".264",".347",".393",".328","104","57.4","76.6","55.6","30.7","9927"
"Coco Crisp","- - -","1586","6627","130","877","639","309","8.5 %","13.1 %",".137",".289",".265",".327",".402",".319","97","64.1","35.5","41.9","30.7","1572"
"Manny Ramirez","- - -","1193","5059","278","786","902","10","14.0 %","17.5 %",".265",".335",".312",".415",".577",".416","154","-29.3","314.7","-175.9","30.7","210"
"Jim Thome","- - -","1313","5203","330","767","890","2","16.8 %","25.2 %",".286",".305",".268",".393",".553",".399","144","-33.3","249.1","-117.9","30.6","409"
"Miguel Tejada","- - -","1559","6656","212","862","935","53","5.4 %","10.3 %",".164",".303",".296",".340",".460",".344","110","-24.7","61.5","25.9","30.6","941"
"Edwin Encarnacion","- - -","1670","6880","348","925","1049","58","11.1 %","16.5 %",".234",".272",".265",".354",".499",".366","127","-8.3","205.3","-140.6","30.5","2151"
"Hunter Pence","- - -","1510","6386","220","815","853","109","7.5 %","18.7 %",".181",".319",".282",".337",".463",".347","117","9.4","139.8","-43.0","30.5","8252"
"Brian Roberts","- - -","1343","5961","95","808","525","273","10.0 %","13.6 %",".135",".310",".277",".350",".413",".335","103","40.4","63.3","38.1","30.3","166"
"Kevin Youkilis","- - -","1061","4436","150","653","618","26","12.2 %","18.7 %",".197",".321",".281",".382",".478",".375","127","2.3","150.2","-1.8","30.3","1935"
"Jacoby Ellsbury","- - -","1235","5375","104","749","512","343","7.4 %","13.7 %",".134",".315",".284",".342",".417",".333","104","54.0","77.6","31.2","30.2","4727"
"Grady Sizemore","- - -","1101","4724","150","660","518","143","10.2 %","20.2 %",".192",".309",".265",".349",".457",".350","115","35.0","126.4","15.5","29.8","2197"
"Alex Gordon","Royals","1412","5865","160","719","608","96","9.6 %","21.7 %",".160",".312",".259",".340",".419",".332","105","20.4","54.2","26.3","29.3","5209"
"Adam Jones","- - -","1541","6375","251","843","815","88","4.5 %","18.8 %",".183",".308",".278",".318",".460",".336","108","19.2","74.8","-11.8","29.3","6368"
"Shane Victorino","- - -","1299","5164","108","731","489","231","7.4 %","12.1 %",".150",".298",".275",".340",".425",".336","104","53.1","79.0","44.1","29.3","1677"
"Rafael Furcal","- - -","1404","6336","105","937","520","252","8.6 %","12.2 %",".126",".307",".280",".343",".406",".329","100","48.9","47.4","41.6","29.2","88"
"Miguel Montero","- - -","1181","4330","126","458","550","5","10.3 %","20.3 %",".155",".300",".257",".340",".412",".328","99","-31.2","-35.2","176.0","28.7","3364"
"Brian Giles","- - -","1091","4814","137","635","588","58","15.1 %","10.0 %",".183",".291",".283",".394",".466",".374","132","14.6","208.0","-76.6","28.6","990"
"Victor Martinez","- - -","1840","7658","237","882","1124","7","9.1 %","11.0 %",".164",".309",".298",".364",".462",".355","120","-84.5","94.4","-75.6","28.2","393"
"Jhonny Peralta","- - -","1798","7319","202","841","873","17","8.3 %","19.8 %",".156",".311",".267",".329",".423",".328","103","-50.2","-30.5","54.6","28.1","1738"
"Howie Kendrick","- - -","1435","5791","104","703","636","123","5.4 %","17.4 %",".130",".340",".291",".334",".421",".329","107","1.5","45.4","31.1","28.0","4229"
"Josh Hamilton","- - -","1027","4350","200","609","701","50","8.1 %","21.6 %",".226",".331",".290",".349",".516",".368","127","19.6","159.2","-35.1","28.0","1875"
"Chase Headley","- - -","1409","5701","130","635","592","93","10.0 %","22.4 %",".138",".328",".264",".343",".402",".328","108","5.2","59.4","25.7","27.8","4720"
"J.J. Hardy","- - -","1561","6309","188","718","688","8","6.5 %","15.2 %",".152",".277",".256",".305",".408",".311","89","-24.1","-103.3","163.4","27.7","3797"
