"Name","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Blake Snell","21","5","0","31","31","180.2","11.01","3.19","0.80",".241","88.0 %","44.7 %","10.7 %","1.89","2.95","3.16","4.8","13543"
"Jose Alvarado","1","6","8","70","0","64.0","11.25","4.08","0.14",".270","72.2 %","55.0 %","2.4 %","2.39","2.27","3.15","2.1","17780"
"Chris Archer","3","5","0","17","17","96.0","9.56","2.91","1.03",".343","71.6 %","44.7 %","12.6 %","4.31","3.62","3.63","1.8","6345"
"Yonny Chirinos","5","5","0","18","7","89.2","7.53","2.51","0.70",".298","71.0 %","43.7 %","8.3 %","3.51","3.51","4.04","1.2","16401"
"Ryne Stanek","2","3","0","59","29","66.1","10.99","3.66","1.09",".253","80.9 %","32.7 %","10.0 %","2.98","3.55","3.98","1.2","15947"
"Diego Castillo","4","2","0","43","11","56.2","10.32","2.86","0.95",".229","73.5 %","45.3 %","12.0 %","3.18","3.30","3.38","1.1","17496"
"Ryan Yarbrough","16","6","0","38","6","147.1","7.82","3.05","1.10",".288","74.1 %","38.0 %","11.2 %","3.91","4.19","4.41","0.9","16502"
"Adam Kolarek","1","0","2","31","0","34.1","4.98","1.31","0.00",".328","65.9 %","59.1 %","0.0 %","3.93","2.58","4.02","0.9","10843"
"Nathan Eovaldi","3","4","0","10","10","57.0","8.37","1.26","1.74",".245","72.1 %","46.6 %","18.3 %","4.26","4.28","3.51","0.7","9132"
"Matt Andriese","3","4","0","27","4","59.2","8.90","2.72","1.06",".291","66.0 %","50.6 %","13.7 %","4.07","3.71","3.60","0.6","12022"
"Alex Colome","2","5","11","23","0","21.2","9.55","3.32","0.42",".354","65.4 %","54.5 %","6.7 %","4.15","2.75","3.29","0.6","6661"
"Tyler Glasnow","1","5","0","11","11","55.2","10.35","3.07","1.62",".248","74.0 %","43.9 %","20.8 %","4.20","4.38","3.47","0.6","14374"
"Sergio Romo","3","4","25","73","5","67.1","10.02","2.67","1.47",".307","78.2 %","36.4 %","13.6 %","4.14","4.04","3.90","0.5","9817"
"Hunter Wood","1","1","0","29","8","41.0","9.22","3.95","0.88",".330","79.0 %","44.4 %","10.8 %","3.73","3.70","3.92","0.5","15091"
"Wilmer Font","2","1","0","9","5","27.0","6.67","3.67","0.67",".178","90.9 %","45.3 %","6.3 %","1.67","3.98","4.97","0.4","5257"
"Chaz Roe","1","3","1","61","0","50.1","9.48","2.86","1.07",".242","75.1 %","47.6 %","14.6 %","3.58","4.04","3.83","0.3","9866"
"Anthony Banda","1","0","0","3","1","14.2","6.14","1.84","0.61",".262","66.2 %","45.2 %","7.1 %","3.68","3.30","3.99","0.3","14706"
"Austin Pruitt","2","3","4","23","0","69.2","5.43","2.07","0.90",".289","61.9 %","48.5 %","9.1 %","4.65","3.99","4.51","0.2","15290"
"Jake Faria","4","4","0","17","12","65.0","6.92","4.57","1.25",".274","68.4 %","34.4 %","10.7 %","5.40","5.08","5.42","0.1","13699"
"Chih-Wei Hu","0","0","0","5","0","13.0","8.31","2.08","1.38",".152","55.6 %","22.9 %","11.1 %","4.15","4.01","4.29","0.1","16419"
"Jonny Venters","1","1","1","22","1","14.0","7.07","3.86","0.64",".250","70.5 %","70.0 %","14.3 %","3.86","3.80","3.70","0.1","7175"
"Jesus Sucre","0","0","0","2","0","1.0","0.00","0.00","0.00",".571","50.0 %","57.1 %","0.0 %","18.00","3.16","8.12","0.0","5942"
"Daniel Robertson","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0 %","0.0 %","0.0 %","0.00","3.16","6.46","0.0","14145"
"Jalen Beeks","5","0","0","12","0","44.1","7.51","4.06","1.02",".288","73.2 %","50.8 %","12.5 %","4.47","4.45","4.47","0.0","17192"
"Johnny Field","0","0","0","1","0","1.0","0.00","9.00","0.00",".000","100.0 %","0.0 %","0.0 %","0.00","6.16","11.12","0.0","15048"
"Ryan Weber","0","1","0","2","0","5.1","1.69","3.38","0.00",".238","37.5 %","52.4 %","0.0 %","5.06","4.47","6.33","0.0","10160"
"Carlos Gomez","0","0","0","1","0","0.1","0.00","108.00","0.00",".000","25.0 %","0.0 %","0.0 %","81.00","39.16","44.12","-0.1","4881"
"Vidal Nuno","3","0","0","17","0","33.0","7.91","2.73","1.36",".216","100.0 %","28.6 %","10.6 %","1.64","4.46","4.85","-0.1","9674"
"Jaime Schultz","2","2","0","22","1","30.1","10.38","5.04","1.78",".188","64.2 %","29.0 %","15.0 %","5.64","5.40","5.01","-0.2","15066"
"Hoby Milner","0","0","0","4","0","2.2","13.50","6.75","6.75",".200","45.5 %","14.3 %","33.3 %","6.75","12.16","6.13","-0.3","13346"
"Andrew Kittredge","3","2","0","33","3","38.1","7.04","3.99","1.64",".373","61.1 %","50.4 %","21.2 %","7.75","5.38","4.43","-0.4","12828"
