"Season","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"2004","13910","8.7 %","18.6 %","0.47","188",".333",".406",".739",".147","4.5",".298","1649","-75.5",".324","92"
"2007","13240","8.9 %","19.8 %","0.45","181",".330",".396",".726",".139","4.7",".304","1524","-113.9",".321","91"
"2002","13231","8.7 %","19.5 %","0.45","213",".322",".398",".720",".150","4.8",".287","1495","-93.8",".317","91"
"2006","12475","8.3 %","20.1 %","0.42","164",".324",".400",".724",".148","4.4",".296","1410","-155.3",".317","87"
"2009","14833","8.3 %","20.9 %","0.40","208",".320",".392",".713",".142","4.4",".298","1616","-160.7",".316","88"
"2008","14741","8.2 %","20.5 %","0.40","215",".321",".391",".712",".139","4.9",".300","1618","-156.9",".316","89"
"2003","14179","8.1 %","18.1 %","0.45","160",".323",".394",".717",".140","4.4",".291","1589","-149.4",".315","88"
"2005","13087","7.8 %","19.2 %","0.41","162",".322",".390",".712",".135","4.8",".299","1436","-132.7",".314","89"
"2010","14081","8.4 %","22.0 %","0.38","179",".319",".379",".698",".132","4.3",".302","1513","-104.7",".312","90"
"2017","13004","7.9 %","22.6 %","0.35","185",".314",".378",".692",".133","4.6",".299","1370","-215.3",".301","83"
"2018","14068","8.0 %","23.5 %","0.34","206",".309",".371",".679",".133","4.5",".293","1457","-187.1",".298","85"
"2015","14502","7.3 %","21.8 %","0.34","200",".310",".367",".677",".120","4.5",".302","1454","-177.2",".298","86"
"2016","13119","7.6 %","21.9 %","0.35","177",".309",".368",".678",".126","4.7",".296","1315","-230.6",".297","82"
"2011","14137","7.5 %","21.5 %","0.35","262",".306",".360",".666",".120","4.9",".293","1371","-217.0",".297","83"
"2014","14468","7.2 %","21.9 %","0.33","192",".305",".350",".655",".107","4.5",".300","1370","-185.7",".293","85"
"2013","15720","7.0 %","22.8 %","0.31","203",".299",".356",".654",".117","4.4",".294","1443","-279.9",".291","81"
"2012","16339","7.2 %","22.7 %","0.32","262",".298",".360",".659",".125","4.7",".288","1545","-319.4",".291","80"
