"Season","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"2007","36690","9.4 %","15.1 %","0.62","455",".356",".455",".811",".169","4.2",".314","5193","654.8",".352","111"
"2006","36875","9.5 %","15.2 %","0.62","488",".351",".449",".800",".170","4.0",".305","5036","408.0",".344","105"
"2003","35100","9.2 %","14.3 %","0.65","488",".348",".450",".798",".172","4.2",".300","4793","490.1",".344","108"
"2008","36366","9.7 %","15.5 %","0.62","510",".349",".439",".788",".165","4.0",".304","4841","462.4",".344","107"
"2009","34797","9.7 %","15.8 %","0.62","494",".346",".439",".785",".166","4.2",".301","4561","392.6",".342","106"
"2005","35260","9.1 %","14.9 %","0.61","412",".345",".443",".788",".167","4.0",".301","4685","457.1",".342","107"
"2004","35919","9.3 %","15.0 %","0.62","425",".344",".446",".790",".173","4.1",".296","4773","318.8",".341","103"
"2011","33868","9.2 %","17.0 %","0.54","563",".339",".426",".765",".157","4.0",".303","4293","489.9",".334","109"
"2017","33407","9.4 %","20.4 %","0.46","371",".338",".445",".783",".180","4.0",".306","4417","344.3",".333","105"
"2010","36069","9.3 %","16.3 %","0.57","473",".338",".418",".757",".151","3.9",".299","4471","326.8",".332","104"
"2016","33524","8.8 %","20.6 %","0.43","400",".334",".442",".776",".176","4.1",".308","4344","394.6",".332","107"
"2012","36807","8.6 %","17.7 %","0.49","565",".333",".435",".768",".167","4.3",".301","4699","499.7",".332","108"
"2002","32240","9.2 %","15.2 %","0.61","381",".337",".422",".759",".157","3.9",".291","3982","109.6",".330","99"
"2013","35926","8.6 %","18.0 %","0.48","417",".330",".419",".749",".155","3.7",".301","4316","379.0",".327","106"
"2014","33408","8.2 %","19.2 %","0.43","418",".329",".414",".743",".150","3.8",".307","4027","435.9",".327","109"
"2015","33777","8.3 %","19.6 %","0.42","381",".328",".422",".750",".159","4.0",".305","4105","304.7",".325","105"
"2018","36923","9.1 %","21.1 %","0.43","432",".328",".424",".752",".168","4.1",".301","4608","291.6",".324","104"
