"Name","Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","playerid"
"John-Ford Griffin","Blue Jays","1","0.0 %","0.0 %","0.00","0","1.000","4.000","5.000","3.000","0.1",".000","2","1.4","2.017","1242","2182"
"Mike Marjama","Mariners","1","0.0 %","0.0 %","0.00","0","1.000","4.000","5.000","3.000","0.1",".000","2","1.4","1.980","1238","12594"
"Craig Brazell","- - -","2","0.0 %","0.0 %","0.00","0","1.000","2.500","3.500","1.500","0.1","1.000","2","1.9","1.439","830","2081"
"Andy Cannizaro","Yankees","2","0.0 %","0.0 %","0.00","0","1.000","2.500","3.500","1.500","2.6","1.000","2","1.9","1.430","824","7068"
"Rick Short","Nationals","3","0.0 %","0.0 %","0.00","0","1.000","2.500","3.500","1.500","0.1","1.000","3","2.2","1.213","684","2263"
"Ryan Brett","Rays","2","0.0 %","0.0 %","0.00","0","1.000","1.500","2.500",".500","0.1","1.000","1","1.2","1.069","621","12138"
"Luis Garcia","Orioles","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.5",".892","480","140"
"Kevin Orie","Cubs","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","2.6","1.000","1","0.5",".892","472","1616"
"Esix Snead","Mets","1","0.0 %","0.0 %","0.00","1","1.000","1.000","2.000",".000","3.0","1.000","1","0.5",".892","473","1626"
"Danny Ortiz","Pirates","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","2.6","1.000","1","0.5",".877","462","10317"
"Carlos Rivero","Red Sox","4","0.0 %","0.0 %","0.00","0",".500","1.500","2.000","1.000","0.1",".333","2","1.7",".854","473","1136"
"Darren Ford","Giants","3","33.3 %","0.0 %","1.00","4","1.000","1.000","2.000",".000","6.3","1.000","2","1.2",".825","452","109"
"Mandy Romero","Rockies","3","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","2.6","1.000","2","1.2",".788","381","1804"
"Kevin Reese","Yankees","1","0.0 %","0.0 %","0.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".737","366","2977"
"Adam Greenberg","Cubs","1","0.0 %","0.0 %","0.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".733","361","4647"
"Charlton Jimerson","- - -","4","0.0 %","25.0 %","0.00","0",".500","1.250","1.750",".750","0.1",".500","2","1.3",".715","352","2171"
"Rico Washington","Cardinals","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".708","348","2017"
"Josh Rodriguez","Pirates","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","2.6",".000","0","0.3",".694","359","5716"
"James Beresford","Twins","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".691","352","4626"
"Jeremy Brown","Athletics","2","0.0 %","0.0 %","0.00","0",".500","1.000","1.500",".500","0.1",".500","1","0.5",".620","290","4512"
"Donny Lucy","White Sox","15","6.7 %","20.0 %","0.33","0",".533",".923","1.456",".462","1.6",".556","5","3.4",".607","287","7498"
"Walter Young","Orioles","3","0.0 %","33.3 %","0.00","0",".667",".667","1.333",".000","2.6","1.000","1","0.7",".593","280","2112"
"Chad Santos","Giants","3","0.0 %","0.0 %","0.00","0",".667",".667","1.333",".000","0.1",".667","1","0.7",".593","266","2657"
"Raudy Read","Nationals","3","0.0 %","33.3 %","0.00","0",".667",".667","1.333",".000","2.6","1.000","1","0.7",".584","266","15766"
"Miguel Andujar","Yankees","3","0.0 %","0.0 %","0.00","0",".667",".667","1.333",".000","0.1",".667","1","0.7",".584","278","15878"
"Colin Moran","Astros","5","0.0 %","20.0 %","0.00","0",".400","1.000","1.400",".600","0.1",".333","2","1.1",".571","274","16909"
"Rio Ruiz","Braves","14","7.1 %","28.6 %","0.25","0",".429","1.000","1.429",".583","2.6",".429","4","2.7",".546","241","14103"
"Greg Allen","Indians","12","16.7 %","25.0 %","0.67","0",".500",".800","1.300",".400","0.8",".500","4","2.1",".529","237","16623"
"Jose Martinez","Cardinals","81","12.3 %","16.0 %","0.77","0",".494",".803","1.297",".380","1.4",".451","24","14.2",".528","234","7996"
"Ildemaro Vargas","Diamondbacks","4","0.0 %","25.0 %","0.00","0",".500",".750","1.250",".250","2.6",".667","1","0.7",".527","225","13324"
"Chad Kreuter","- - -","31","12.9 %","22.6 %","0.57","0",".516",".741","1.257",".296","0.9",".556","9","5.2",".527","236","661"
"Jordan Patterson","Rockies","3","33.3 %","0.0 %","1.00","0",".667",".500","1.167",".000","0.1",".500","1","0.5",".523","218","15119"
"Melky Mesa","Yankees","6","0.0 %","0.0 %","0.00","0",".500",".667","1.167",".167","4.0",".500","2","0.9",".508","232","447"
"Christian Villanueva","Padres","13","0.0 %","23.1 %","0.00","0",".385",".846","1.231",".462","1.6",".375","4","2.0",".507","220","11738"
"Bry Nelson","Red Sox","12","0.0 %","0.0 %","0.00","0",".500",".667","1.167",".167","3.2",".500","3","1.8",".507","217","203"
"Victor Caratini","Cubs","15","6.7 %","13.3 %","0.50","0",".600",".583","1.183",".083","0.4",".600","4","2.3",".504","216","14968"
"Ryan Budde","Angels","10","10.0 %","10.0 %","1.00","0",".500",".667","1.167",".222","0.8",".500","3","1.4",".502","226","3768"
"Mike Kinkade","Dodgers","104","5.8 %","17.3 %","0.33","0",".500",".679","1.179",".298","1.6",".443","28","15.0",".500","215","660"
"Harrison Bader","Cardinals","20","0.0 %","15.0 %","0.00","0",".400",".800","1.200",".400","2.6",".400","5","3.0",".497","212","18030"
"Antoan Richardson","- - -","5","20.0 %","0.0 %","1.00","1",".600",".500","1.100",".000","6.0",".500","1","0.7",".494","222","209"
"Kyle Jensen","Diamondbacks","15","0.0 %","26.7 %","0.00","0",".333",".867","1.200",".533","4.1",".333","4","2.1",".490","206","7706"
"Glenn Williams","Twins","16","6.3 %","25.0 %","0.25","1",".563",".533","1.096",".000","2.2",".727","4","2.2",".489","209","1991"
"Barry Bonds","Giants","859","25.1 %","10.7 %","2.35","8",".505",".684","1.189",".365","3.7",".288","212","106.6",".479","195","1109"
"Reynaldo Navarro","Orioles","9","0.0 %","0.0 %","0.00","0",".375",".750","1.125",".375","0.1",".286","2","1.2",".478","210","6008"
"Matt Franco","Braves","19","21.1 %","15.8 %","1.33","0",".474",".667","1.140",".333","3.6",".364","5","2.4",".478","194","1499"
"Darrin Fletcher","Blue Jays","20","10.0 %","10.0 %","1.00","0",".421",".750","1.171",".375","0.6",".308","5","2.5",".475","194","1302"
"Pete LaForest","- - -","10","0.0 %","40.0 %","0.00","0",".400",".700","1.100",".300","2.6",".600","2","1.2",".469","198","1821"
"Johan Camargo","Braves","76","5.3 %","19.7 %","0.27","0",".434",".694","1.129",".292","3.4",".481","18","9.2",".464","188","14950"
"Tyler Austin","Yankees","44","13.6 %","34.1 %","0.40","0",".432",".722","1.154",".361","0.8",".474","11","5.3",".464","196","11850"
"Angel Echevarria","Cubs","54","5.6 %","13.0 %","0.43","0",".426",".673","1.099",".265","1.4",".415","12","5.9",".459","186","1498"
"Brian Dallimore","Giants","23","8.7 %","13.0 %","0.67","0",".435",".650","1.085",".300","2.6",".375","5","2.5",".459","182","1920"
"Russ Canzler","- - -","31","3.2 %","25.8 %","0.13","0",".419",".667","1.086",".267","1.2",".500","7","3.5",".457","198","8265"
"Rafael Devers","Red Sox","57","12.3 %","29.8 %","0.41","2",".474",".600","1.074",".200","4.8",".581","13","6.5",".456","187","17350"
"Robinson Cancel","- - -","27","11.1 %","7.4 %","1.50","0",".462",".565","1.027",".174","2.7",".400","6","2.7",".449","180","2011"
"Mike Tauchman","Rockies","7","28.6 %","14.3 %","2.00","0",".571",".400",".971",".000","1.8",".500","2","0.8",".448","164","15274"
"Bronson Sardinha","Yankees","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","2.6",".500","0","0.2",".448","177","3585"
"Fernando Cortez","Royals","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","0.1",".500","0","0.2",".448","175","3634"
"Buck Coats","- - -","14","7.1 %","42.9 %","0.17","0",".429",".615","1.044",".231","0.1",".714","3","1.4",".447","172","2945"
"Pedro Swann","- - -","2","0.0 %","50.0 %","0.00","0",".500",".500","1.000",".000","2.6","1.000","0","0.2",".446","189","1323"
"J.J. Furmaniak","- - -","6","33.3 %","33.3 %","1.00","0",".500",".500","1.000",".250","1.6",".500","1","0.6",".445","176","3054"
"Caleb Gindl","Brewers","19","21.1 %","5.3 %","4.00","0",".474",".533","1.007",".200","0.3",".308","4","1.9",".443","184","5002"
"Izzy Alcantara","Brewers","16","0.0 %","25.0 %","0.00","0",".313",".750","1.063",".438","1.6",".300","3","1.5",".443","173","1558"
"Joe Vitiello","Expos","62","9.7 %","14.5 %","0.67","0",".435",".589","1.025",".214","0.5",".422","13","5.9",".441","166","1748"
"Hunter Renfroe","Padres","140","10.0 %","17.1 %","0.58","2",".393",".691","1.084",".374","2.9",".307","31","14.1",".441","177","15464"
"Ryan Lollis","Giants","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","0.1",".500","0","0.2",".440","188","6623"
"Jason Coats","White Sox","27","7.4 %","18.5 %","0.40","0",".407",".640","1.047",".280","2.0",".421","6","2.7",".440","183","14282"
"Jeff Bailey","Red Sox","64","10.9 %","21.9 %","0.50","0",".391",".649","1.040",".333","4.5",".342","14","5.8",".439","166","2394"
"Cam Gallagher","Royals","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","0.1",".500","0","0.2",".438","178","12981"
"Bucky Jacobsen","Mariners","55","9.1 %","20.0 %","0.45","0",".400",".640","1.040",".300","0.9",".371","12","5.0",".438","173","2368"
"Steve Selsky","- - -","18","5.6 %","44.4 %","0.13","1",".389",".647","1.036",".294","5.7",".625","4","1.7",".434","170","12957"
"Paul Goldschmidt","Diamondbacks","982","15.8 %","18.7 %","0.84","42",".437",".597","1.034",".266","5.4",".373","203","91.2",".431","170","9218"
