"Season","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"2006","61403","10.0 %","15.4 %","0.65","931",".355",".455",".810",".175","4.6",".308","8550","843.9",".347","107"
"2004","65385","10.3 %","15.7 %","0.66","920",".353",".444",".797",".171","4.5",".301","8868","760.4",".344","106"
"2007","62356","10.0 %","15.9 %","0.63","1022",".351",".440",".791",".165","4.7",".306","8352","638.9",".343","105"
"2002","65195","10.4 %","15.6 %","0.67","927",".351",".440",".791",".167","4.5",".301","8758","927.7",".343","108"
"2008","63109","10.1 %","16.4 %","0.62","942",".350",".435",".785",".161","4.6",".307","8324","726.1",".342","106"
"2009","65919","10.4 %","17.1 %","0.61","1067",".350",".434",".784",".163","4.6",".308","8632","734.6",".342","106"
"2003","63893","9.9 %","15.2 %","0.66","838",".349",".437",".785",".164","4.4",".300","8494","660.9",".340","105"
"2005","64660","9.4 %","15.1 %","0.62","907",".344",".435",".779",".162","4.5",".299","8377","624.3",".338","104"
"2010","61510","10.0 %","17.7 %","0.56","1059",".340",".418",".758",".154","4.6",".302","7660","592.2",".333","105"
"2017","61785","9.8 %","20.1 %","0.49","869",".338",".443",".781",".182","4.4",".300","8154","622.6",".333","105"
"2012","62287","9.4 %","18.7 %","0.50","1094",".335",".422",".756",".159","4.7",".302","7756","649.2",".328","106"
"2016","61950","9.4 %","19.8 %","0.48","881",".333",".429",".762",".171","4.5",".299","7774","476.1",".327","103"
"2011","63893","9.1 %","17.6 %","0.51","1054",".334",".415",".749",".151","4.6",".302","7752","576.7",".327","105"
"2018","60674","9.9 %","20.9 %","0.47","797",".332",".427",".760",".174","4.5",".296","7717","624.0",".327","105"
"2013","64544","9.1 %","18.7 %","0.49","965",".331",".415",".747",".155","4.3",".300","7736","661.9",".327","106"
"2015","62537","8.8 %","18.8 %","0.47","857",".331",".422",".753",".161","4.4",".300","7666","630.8",".326","106"
"2014","65361","8.7 %","18.8 %","0.46","984",".324",".394",".718",".139","4.5",".298","7393","366.9",".317","102"
