"Season","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"2006","71270","7.0 %","16.9 %","0.41","1179",".328",".430",".758",".160","4.9",".301","8675","-269.7",".327","94"
"2004","67178","7.0 %","17.3 %","0.41","1049",".327",".428",".754",".160","4.6",".299","8122","-208.3",".327","94"
"2009","65502","7.5 %","17.9 %","0.42","1198",".324",".417",".742",".155","5.0",".296","7624","-223.1",".325","94"
"2003","68121","7.3 %","17.0 %","0.43","1084",".324",".420",".745",".159","4.5",".292","8119","-233.0",".324","94"
"2007","70385","7.2 %","17.3 %","0.41","1252",".325",".415",".740",".150","4.8",".299","8269","-437.8",".324","92"
"2008","67439","7.4 %","17.5 %","0.42","1126",".324",".413",".736",".151","4.9",".296","7833","-287.0",".323","93"
"2002","69893","7.4 %","16.8 %","0.44","1226",".323",".416",".739",".154","4.8",".291","8191","-203.4",".323","94"
"2005","67158","7.0 %","16.7 %","0.42","1078",".323",".418",".740",".155","4.5",".293","7837","-215.5",".322","94"
"2017","71822","7.6 %","22.1 %","0.34","1098",".320",".430",".750",".174","4.7",".301","8730","-24.9",".321","97"
"2010","67835","7.2 %","18.3 %","0.40","1245",".319",".406",".725",".147","4.7",".295","7690","-103.9",".319","95"
"2016","70622","7.3 %","21.0 %","0.34","1075",".319",".423",".742",".164","4.7",".302","8362","42.4",".319","97"
"2018","68339","7.4 %","22.3 %","0.33","1032",".314",".413",".727",".163","4.5",".297","7972","-16.7",".314","97"
"2012","62833","6.9 %","19.7 %","0.35","1305",".313",".405",".719",".150","5.1",".296","7056","-113.3",".313","95"
"2011","67387","7.2 %","18.5 %","0.39","1397",".313",".397",".710",".144","5.0",".289","7369","-198.9",".312","94"
"2015","67406","6.7 %","20.6 %","0.33","1065",".311",".407",".718",".151","4.7",".299","7483","-100.6",".311","95"
"2013","63171","6.9 %","19.9 %","0.35","1100",".313",".394",".707",".140","4.5",".297","6794","-129.8",".311","95"
"2014","65171","6.7 %","20.8 %","0.32","1168",".310",".392",".702",".139","4.9",".300","7029","23.6",".311","97"
