"Name","Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","playerid"
"Juan Diaz","Red Sox","3","33.3 %","0.0 %","1.00","0",".667","2.000","2.667","1.500","0.1",".000","2","1.4",".908","486","187"
"Matt Tupman","Royals","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.5",".896","476","4381"
"Gary Brown","Giants","2","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","2.6","1.000","1","0.9",".892","498","11464"
"Chris Latham","Yankees","2","0.0 %","0.0 %","0.00","1","1.000","1.000","2.000",".000","7.5","1.000","1","0.9",".891","476","882"
"Rico Noel","Yankees","1","0.0 %","0.0 %","0.00","4","1.000","1.000","2.000",".000","7.0","1.000","1","0.5",".881","488","10585"
"Carlos Rivero","Red Sox","4","25.0 %","0.0 %","1.00","0",".750","1.000","1.750",".333","0.1",".667","2","1.2",".716","376","1136"
"Trey Lunsford","Giants","3","0.0 %","33.3 %","0.00","0",".667","1.000","1.667",".333","0.1","1.000","1","1.0",".716","358","1614"
"Kevin Melillo","Athletics","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".711","356","8278"
"Yefri Perez","Marlins","3","0.0 %","33.3 %","0.00","3",".667","1.000","1.667",".333","6.7","1.000","1","1.0",".707","361","12090"
"Denis Phipps","Reds","7","14.3 %","28.6 %","0.50","0",".571","1.167","1.738",".667","2.6",".667","3","2.2",".698","353","6968"
"Spencer Kieboom","Nationals","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","2.6",".000","0","0.3",".691","344","13300"
"Kevin Richardson","Rangers","4","0.0 %","0.0 %","0.00","0",".750",".750","1.500",".000","2.6",".750","2","1.1",".671","317","4852"
"Chance Sisco","Orioles","16","12.5 %","25.0 %","0.50","0",".563","1.077","1.639",".615","0.6",".571","6","4.3",".643","319","15694"
"Miguel Andujar","Yankees","5","20.0 %","0.0 %","1.00","1",".600","1.000","1.600",".500","5.0",".500","2","1.3",".631","310","15878"
"Dusty Wathan","Royals","6","0.0 %","16.7 %","0.00","0",".667",".800","1.467",".200","1.6",".750","2","1.5",".629","295","1648"
"Jon Knott","- - -","11","18.2 %","18.2 %","1.00","0",".545",".889","1.434",".444","0.8",".500","4","2.4",".587","272","3942"
"Charlton Jimerson","- - -","5","0.0 %","40.0 %","0.00","4",".400","1.000","1.400",".600","7.5",".500","2","1.0",".579","279","2171"
"Eddy Rodriguez","Padres","5","20.0 %","40.0 %","0.50","0",".400","1.000","1.400",".750","0.1",".000","2","0.9",".550","262","6870"
"Chad Santos","Giants","5","20.0 %","40.0 %","0.50","0",".400","1.000","1.400",".750","2.6",".000","1","0.9",".536","229","2657"
"McKay Christensen","Mets","3","33.3 %","33.3 %","1.00","0",".667",".500","1.167",".000","2.6","1.000","1","0.5",".532","236","1421"
"Slade Heathcott","Yankees","27","7.4 %","18.5 %","0.40","0",".480",".818","1.298",".364","3.1",".500","8","4.7",".532","247","10336"
"Ryan Jackson","Tigers","7","14.3 %","28.6 %","0.50","0",".429",".833","1.262",".500","2.6",".500","2","1.0",".506","222","472"
"Barry Bonds","Giants","1942","31.8 %","8.5 %","3.75","22",".547",".705","1.252",".378","3.5",".290","507","268.6",".490","205","1109"
"Craig Stansberry","Padres","17","5.9 %","17.6 %","0.33","0",".533",".538","1.072",".077","2.2",".600","4","1.9",".479","191","6256"
"Jason Hart","Rangers","6","16.7 %","50.0 %","0.33","0",".500",".600","1.100",".200","2.6","1.000","1","0.7",".475","192","1253"
"Mark Saccomanno","Astros","8","0.0 %","12.5 %","0.00","0",".286",".857","1.143",".571","0.1",".200","2","0.9",".469","190","5938"
"Mickey Lopez","Mariners","5","20.0 %","0.0 %","1.00","0",".600",".333",".933",".000","0.1",".333","1","0.6",".467","192","2283"
"Tom Murphy","Rockies","60","6.7 %","30.0 %","0.22","1",".350",".727","1.077",".436","3.8",".300","13","6.2",".446","173","13499"
"Rontrez Johnson","Royals","2","0.0 %","50.0 %","0.00","0",".500",".500","1.000",".000","2.6","1.000","0","0.2",".446","171","1651"
"Keith Reed","Orioles","2","0.0 %","50.0 %","0.00","0",".500",".500","1.000",".000","2.6","1.000","0","0.2",".445","179","2695"
"Ray Sadler","Pirates","2","0.0 %","50.0 %","0.00","0",".500",".500","1.000",".000","0.1","1.000","0","0.2",".445","175","2914"
"Travis Tartamella","Cardinals","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","0.1",".500","0","0.2",".440","186","6748"
"Charlie Tilson","White Sox","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","0.1",".500","0","0.2",".439","183","12983"
"Jesse Winker","Reds","111","12.6 %","18.0 %","0.70","1",".427",".615","1.042",".271","2.0",".377","24","10.9",".438","170","13590"
"Rick Short","Nationals","14","7.1 %","7.1 %","1.00","0",".357",".692","1.049",".385","2.6",".273","3","1.3",".437","172","2263"
"Cody Stanley","Cardinals","9","0.0 %","22.2 %","0.00","0",".444",".556","1.000",".111","2.6",".571","2","0.9",".433","181","10838"
"Jim Thome","- - -","3624","18.6 %","23.4 %","0.79","1",".420",".607","1.027",".321","2.1",".315","740","302.7",".427","162","409"
"David Ortiz","- - -","6118","15.1 %","15.9 %","0.95","12",".405",".609","1.015",".309","2.3",".302","1215","493.9",".421","160","745"
"Rhys Hoskins","Phillies","154","14.3 %","22.7 %","0.63","2",".396",".620","1.016",".333","4.1",".301","32","13.0",".421","161","16472"
